"user_id","round","agent_id","tile_x","tile_y","cnt"
21,2,0,1,4,0
21,2,0,7,4,0
21,2,0,2,0,1
21,2,0,7,7,1
21,2,0,7,3,3
21,2,0,4,0,2
21,2,0,2,7,0
21,2,0,4,1,4
21,2,0,4,3,0
21,2,0,4,7,0
2,5,0,2,2,1
2,5,0,1,2,1
2,5,0,2,1,0
2,5,0,2,3,2
2,5,0,3,2,3
2,5,0,1,1,0
2,5,0,1,3,1
2,5,0,3,1,0
2,5,0,3,3,1
2,5,0,5,5,3
2,5,0,4,5,5
2,5,0,5,4,2
2,5,0,5,6,1
2,5,0,6,5,0
2,5,0,4,4,1
2,5,0,4,6,2
2,5,0,6,4,0
2,5,0,6,6,0
10,5,0,2,2,4
10,5,0,1,2,3
10,5,0,2,1,4
10,5,0,2,3,6
10,5,0,3,2,4
10,5,0,1,1,2
10,5,0,1,3,4
10,5,0,3,1,1
10,5,0,3,3,4
10,5,0,5,5,3
10,5,0,4,5,3
10,5,0,5,4,5
10,5,0,5,6,2
10,5,0,6,5,3
10,5,0,4,4,5
10,5,0,4,6,2
10,5,0,6,4,6
10,5,0,6,6,2
7,5,0,2,2,1
7,5,0,1,2,1
7,5,0,2,1,2
7,5,0,2,3,2
7,5,0,3,2,3
7,5,0,1,1,2
7,5,0,1,3,1
7,5,0,3,1,2
7,5,0,3,3,4
7,5,0,5,5,1
7,5,0,4,5,3
7,5,0,5,4,1
7,5,0,5,6,1
7,5,0,6,5,2
7,5,0,4,4,3
7,5,0,4,6,1
7,5,0,6,4,2
7,5,0,6,6,0
1,6,0,0,1,5
1,6,0,7,0,2
1,6,0,3,1,7
1,6,0,1,4,0
1,6,0,7,4,3
1,6,0,2,0,4
1,6,0,7,7,0
1,6,0,7,3,1
1,6,0,4,0,3
1,6,0,2,7,0
1,6,0,4,1,5
1,6,0,4,3,1
1,6,0,4,7,0
1,6,1,0,1,0
1,6,1,7,0,1
1,6,1,3,1,0
1,6,1,1,4,1
1,6,1,7,4,2
1,6,1,2,0,0
1,6,1,7,7,3
1,6,1,7,3,0
1,6,1,4,0,0
1,6,1,2,7,4
1,6,1,4,1,1
1,6,1,4,3,1
1,6,1,4,7,3
22,3,0,0,1,3
22,3,0,7,0,2
22,3,0,3,1,5
22,3,0,1,4,2
22,3,0,7,4,2
22,3,0,2,0,2
22,3,0,7,7,4
22,3,0,7,3,6
22,3,0,4,0,6
22,3,0,2,7,3
22,3,0,4,1,4
22,3,0,4,3,5
22,3,0,4,7,5
3,5,0,2,2,1
3,5,0,1,2,1
3,5,0,2,1,2
3,5,0,2,3,0
3,5,0,3,2,1
3,5,0,1,1,0
3,5,0,1,3,0
3,5,0,3,1,2
3,5,0,3,3,1
3,5,0,5,5,9
3,5,0,4,5,0
3,5,0,5,4,0
3,5,0,5,6,1
3,5,0,6,5,1
3,5,0,4,4,0
3,5,0,4,6,10
3,5,0,6,4,2
3,5,0,6,6,2
23,3,0,0,1,0
23,3,0,7,0,0
23,3,0,3,1,0
23,3,0,1,4,3
23,3,0,7,4,0
23,3,0,2,0,0
23,3,0,7,7,0
23,3,0,7,3,0
23,3,0,4,0,0
23,3,0,2,7,3
23,3,0,4,1,0
23,3,0,4,3,0
23,3,0,4,7,0
9,4,0,2,2,0
9,4,0,1,2,0
9,4,0,2,1,0
9,4,0,2,3,0
9,4,0,3,2,2
9,4,0,1,1,0
9,4,0,1,3,0
9,4,0,3,1,0
9,4,0,3,3,2
9,4,0,5,5,2
9,4,0,4,5,1
9,4,0,5,4,4
9,4,0,5,6,8
9,4,0,6,5,10
9,4,0,4,4,0
9,4,0,4,6,0
9,4,0,6,4,8
9,4,0,6,6,0
25,2,0,0,1,0
25,2,0,7,0,0
25,2,0,3,1,0
25,2,0,1,4,1
25,2,0,7,4,0
25,2,0,2,0,0
25,2,0,7,7,0
25,2,0,7,3,0
25,2,0,4,0,0
25,2,0,2,7,0
25,2,0,4,1,0
25,2,0,4,3,0
25,2,0,4,7,0
20,4,0,2,2,7
20,4,0,1,2,0
20,4,0,2,1,0
20,4,0,2,3,7
20,4,0,3,2,2
20,4,0,1,1,0
20,4,0,1,3,0
20,4,0,3,1,2
20,4,0,3,3,10
20,4,0,5,5,0
20,4,0,4,5,1
20,4,0,5,4,0
20,4,0,5,6,0
20,4,0,6,5,0
20,4,0,4,4,1
20,4,0,4,6,0
20,4,0,6,4,0
20,4,0,6,6,0
4,1,0,0,1,3
4,1,0,7,0,4
4,1,0,3,1,4
4,1,0,1,4,5
4,1,0,7,4,5
4,1,0,2,0,4
4,1,0,7,7,3
4,1,0,7,3,5
4,1,0,4,0,6
4,1,0,2,7,3
4,1,0,4,1,7
4,1,0,4,3,5
4,1,0,4,7,3
8,3,0,0,1,0
8,3,0,7,0,0
8,3,0,3,1,1
8,3,0,1,4,1
8,3,0,7,4,1
8,3,0,2,0,0
8,3,0,7,7,0
8,3,0,7,3,0
8,3,0,4,0,3
8,3,0,2,7,0
8,3,0,4,1,5
8,3,0,4,3,2
8,3,0,4,7,0
19,3,0,0,1,0
19,3,0,7,0,0
19,3,0,3,1,0
19,3,0,1,4,0
19,3,0,7,4,1
19,3,0,2,0,0
19,3,0,7,7,1
19,3,0,7,3,0
19,3,0,4,0,0
19,3,0,2,7,0
19,3,0,4,1,0
19,3,0,4,3,0
19,3,0,4,7,0
32,1,0,0,1,0
32,1,0,7,0,0
32,1,0,3,1,0
32,1,0,1,4,2
32,1,0,7,4,0
32,1,0,2,0,0
32,1,0,7,7,0
32,1,0,7,3,0
32,1,0,4,0,0
32,1,0,2,7,1
32,1,0,4,1,1
32,1,0,4,3,0
32,1,0,4,7,0
21,3,0,0,1,0
21,3,0,7,0,0
21,3,0,3,1,1
21,3,0,1,4,0
21,3,0,7,4,0
21,3,0,2,0,2
21,3,0,7,7,2
21,3,0,7,3,1
21,3,0,4,0,1
21,3,0,2,7,0
21,3,0,4,1,1
21,3,0,4,3,2
21,3,0,4,7,0
1,7,0,0,1,0
1,7,0,7,0,1
1,7,0,3,1,0
1,7,0,1,4,3
1,7,0,7,4,2
1,7,0,2,0,0
1,7,0,7,7,3
1,7,0,7,3,2
1,7,0,4,0,0
1,7,0,2,7,3
1,7,0,4,1,0
1,7,0,4,3,2
1,7,0,4,7,6
1,7,1,0,1,1
1,7,1,7,0,1
1,7,1,3,1,3
1,7,1,1,4,0
1,7,1,7,4,0
1,7,1,2,0,3
1,7,1,7,7,0
1,7,1,7,3,0
1,7,1,4,0,1
1,7,1,2,7,0
1,7,1,4,1,13
1,7,1,4,3,0
1,7,1,4,7,0
2,6,0,0,1,1
2,6,0,7,0,1
2,6,0,3,1,4
2,6,0,1,4,1
2,6,0,7,4,0
2,6,0,2,0,1
2,6,0,7,7,0
2,6,0,7,3,0
2,6,0,4,0,5
2,6,0,2,7,0
2,6,0,4,1,3
2,6,0,4,3,2
2,6,0,4,7,0
2,6,1,0,1,2
2,6,1,7,0,0
2,6,1,3,1,0
2,6,1,1,4,8
2,6,1,7,4,0
2,6,1,2,0,1
2,6,1,7,7,0
2,6,1,7,3,0
2,6,1,4,0,1
2,6,1,2,7,0
2,6,1,4,1,1
2,6,1,4,3,1
2,6,1,4,7,0
9,5,0,2,2,0
9,5,0,1,2,0
9,5,0,2,1,10
9,5,0,2,3,0
9,5,0,3,2,11
9,5,0,1,1,0
9,5,0,1,3,0
9,5,0,3,1,0
9,5,0,3,3,5
9,5,0,5,5,0
9,5,0,4,5,3
9,5,0,5,4,2
9,5,0,5,6,1
9,5,0,6,5,0
9,5,0,4,4,0
9,5,0,4,6,2
9,5,0,6,4,0
9,5,0,6,6,0
30,1,0,0,1,0
30,1,0,7,0,0
30,1,0,3,1,0
30,1,0,1,4,3
30,1,0,7,4,1
30,1,0,2,0,0
30,1,0,7,7,0
30,1,0,7,3,1
30,1,0,4,0,0
30,1,0,2,7,0
30,1,0,4,1,0
